List Size,Run Time,Nodes Visited,Brute Force Score,Our Score
11,Run Time: 0.0000000000,"['D', 'E', 'C', 'E', 'C', 'E', 'D', 1, 2, 'A', 'B']",79,-4
12,Run Time: 0.0014796257,"['D', 8, 'D', 'E', 'D', 'E', 'C', 'E', 'D', 8, 'B', 'A']",83,-79
12,Run Time: 0.0061013699,"['D', 'E', 'C', 'G', 26, 20, 14, 'E', 14, 'F', 'B', 'A']",83,-87
12,Run Time: 0.0096147060,"['D', 'E', 'C', 'G', 26, 20, 'H', 'F', 'H', 'F', 'B', 'A']",83,0
12,Run Time: 0.0031611919,"['D', 'E', 'C', 20, 14, 'E', 14, 'E', 'D', 8, 'B', 'A']",83,-38
12,Run Time: 0.0000000000,"['D', 'E', 'D', 'E', 'C', 'E', 'D', 8, 'B', 'A', 'B', 'F']",83,22
12,Run Time: 0.0053167343,"['D', 'E', 'C', 'G', 26, 20, 'H', 'J', 'H', 'F', 'B', 'A']",83,-42
12,Run Time: 0.0047876835,"['D', 'E', 'C', 'E', 'D', 8, 'D', 1, 2, 'A', 'B', 'F']",83,8
12,Run Time: 0.0017335415,"['D', 'E', 'C', 'E', 14, 'F', 'H', 22, 'H', 'F', 'B', 'A']",83,-5
12,Run Time: 0.0000000000,"['D', 'E', 'C', 'G', 'C', 'E', 'D', 1, 2, 'A', 'B', 'F']",83,-45
12,Run Time: 0.0003366470,"['D', 'E', 14, 'E', 'C', 'E', 14, 8, 'D', 8, 'B', 'A']",83,-57
12,Run Time: 0.0053546429,"['D', 8, 'D', 1, 'D', 'E', 'C', 20, 14, 'F', 'B', 'A']",83,-57
12,Run Time: 0.0003211498,"['D', 'E', 'C', 'E', 'C', 'E', 'D', 'E', 14, 'F', 'B', 'A']",83,-22
12,Run Time: 0.0034456253,"['D', 'E', 14, 8, 'B', 'F', 16, 'K', 'M', 'P', 4, 'A']",83,-68
13,Run Time: 0.0000000000,"['D', 1, 2, 'A', 'B', 10, 'B', 'F', 'H', 'F', 'H', 20, 'C']",87,-14
13,Run Time: 0.0000000000,"[2, 'A', 'B', 'A', 4, 'A', 'B', 'A', 2, 1, 'D', 'E', 'C']",87,-282
13,Run Time: 0.0045030117,"['D', 'E', 'D', 1, 2, 'A', 'B', 'A', 2, 1, 'D', 'E', 'C']",87,6
13,Run Time: 0.0085446835,"[2, 'A', 'B', 10, 'M', 10, 'B', 'F', 'H', 'F', 14, 20, 'C']",87,-64
13,Run Time: 0.0047740936,"['D', 1, 'D', 'E', 'D', 'E', 14, 'E', 'D', 1, 2, 'A', 'B']",87,-16
13,Run Time: 0.0058112144,"[2, 'A', 'B', 8, 14, 'F', 16, 10, 16, 'F', 'H', 20, 'C']",87,-92
13,Run Time: 0.0043039322,"['D', 8, 'D', 1, 2, 'A', 'B', 'F', 'B', 8, 14, 20, 'C']",87,10
