Customer Order,Path Size,Nodes Visited,Brute Force Score,Our Score
"['A', 'E', 'B', 'H', 'I', 'J', 'F', 'C', 'G', 'D']",32,"['D', 'E', 'C', 'E', 'C', 'G', 'I', 'C', 'G', 26, 'G', 'I', 26, 'G', 'C', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'C', 'G', 26, 'J', 'H', 'F', 'H', 'F', 'B', 'A']",5,8
"['E', 'D', 'C', 'B', 'F', 'A']",46,"['D', 'E', 'D', 1, 'D', 'E', 'C', 20, 14, 'E', 'D', 8, 'D', 'E', 14, 'E', 'C', 20, 26, 'G', 'C', 'G', 'I', 'I', 26, 20, 26, 32, 20, 26, 'G', 'I', 'C', 'G', 'C', 'E', 'D', 8, 'D', 'E', 'C', 20, 'H', 'F', 'B', 'A']",-11,-22
"['D', 'A', 'C', 'B']",37,"['D', 8, 'B', 'F', 'H', 22, 16, 'K', 'M', 12, 10, 4, 'A', 4, 'P', 6, 4, 10, 'B', 'F', 14, 8, 14, 8, 'B', 10, 'M', 10, 'M', 'P', 'M', 10, 'B', 8, 14, 20, 'C']",-19,-21
"['A', 'B', 'F', 'J', 'I', 'C', 'D', 'E', 'G', 'H']",485,"['D', 'E', 'D', 8, 'B', 'A', 2, 1, 2, 1, 2, 'A', 2, 'A', 'B', 'F', 'H', 'J', 'H', 22, 28, 34, 29, 'N', 23, 'O', 22, 'H', 'F', 'B', 'A', 'B', 8, 14, 8, 'B', 8, 'B', 8, 14, 8, 2, 8, 'D', 8, 2, 8, 2, 8, 'B', 10, 4, 'A', 2, 1, 2, 'A', 4, 10, 'M', 'K', 16, 10, 'M', 'P', 'M', 'P', 6, 6, 'M', 12, 12, 'K', 23, 29, 28, 22, 16, 'K', 'M', 10, 'B', 'A', 'B', 'A', 2, 'A', 4, 'A', 4, 'A', 'B', 10, 16, 10, 'B', 8, 14, 20, 'C', 'G', 'C', 'E', 14, 8, 'B', 'F', 16, 'F', 14, 'F', 'B', 'F', 14, 8, 'B', 'A', 2, 1, 2, 'A', 'B', 'F', 'B', 10, 'M', 12, 10, 16, 10, 4, 10, 'M', 12, 'P', 'M', 12, 12, 'P', 4, 'P', 4, 'P', 4, 10, 4, 'P', 'M', 10, 16, 22, 'H', 'F', 'H', 'F', 14, 'F', 14, 'F', 14, 'F', 'B', 'F', 'H', 20, 'H', 'J', 'H', 'F', 'B', 'F', 16, 22, 23, 'O', 22, 16, 22, 16, 22, 28, 'J', 28, 22, 'H', 'J', 28, 'J', 26, 20, 26, 20, 'H', 'F', 16, 'K', 16, 'K', 18, 18, 'M', 'P', 6, 'M', 'P', 'M', 'K', 18, 23, 29, 28, 'J', 'H', 'F', 14, 8, 'B', 'F', 16, 'K', 16, 'K', 16, 22, 16, 'K', 16, 'K', 18, 16, 10, 16, 'F', 'H', 'J', 26, 'J', 26, 32, 'G', 'C', 'E', 14, 'F', 14, 20, 'C', 20, 26, 32, 32, 32, 'G', 'C', 20, 14, 'F', 14, 8, 2, 1, 'D', 1, 2, 1, 2, 1, 'D', 1, 'D', 1, 2, 8, 'D', 8, 2, 'A', 2, 8, 'D', 1, 'D', 8, 'B', 8, 'B', 10, 'B', 8, 'B', 'F', 16, 10, 4, 'A', 4, 'P', 'M', 'K', 16, 22, 'H', 'F', 16, 22, 23, 'O', 22, 23, 'O', 'K', 16, 10, 16, 'F', 'B', 10, 16, 22, 16, 'K', 16, 'F', 'H', 22, 28, 22, 23, 'O', 'O', 29, 'N', 'Q', 'N', 'Q', 'N', 'N', 23, 22, 23, 'O', 'O', 'O', 'O', 22, 28, 29, 23, 29, 'Q', 'N', 28, 'J', 26, 'G', 'C', 20, 'H', 20, 'C', 'G', 'C', 20, 26, 32, 32, 'G', 'C', 20, 14, 20, 'H', 22, 16, 'K', 'M', 12, 10, 4, 'A', 2, 8, 'B', 8, 2, 1, 2, 'A', 'B', 8, 'B', 10, 'B', 10, 4, 'P', 4, 10, 4, 'A', 'B', 8, 'D', 'E', 14, 'E', 'D', 1, 'D', 1, 2, 1, 2, 8, 2, 8, 14, 8, 14, 'F', 14, 'F', 'H', 20, 26, 32, 20, 'H', 20, 'C', 20, 14, 'F', 16, 10, 'M', 'P', 4, 'P', 'M', 'P', 6, 4, 'A', 4, 'A', 2, 8, 'B', 8, 'D', 'E', 'D', 'E', 14, 20, 26, 20, 'C', 20, 'C', 'E', 'D', 1, 'D', 1, 'D', 8, 14, 'E', 'D', 1, 2, 8, 14, 8, 'D', 1, 'D', 'E', 14, 20, 26, 'G', 'I']",5,-445
"['E', 'A', 'D', 'C', 'G', 'F', 'B']",78,"['D', 'E', 'D', 'E', 'C', 'E', 'D', 8, 'B', 'F', 14, 'F', 'H', 22, 23, 29, 'N', 28, 'J', 'H', 'F', 'H', 22, 'H', 'J', 28, 'J', 28, 34, 29, 23, 'K', 23, 'K', 18, 18, 23, 'O', 29, 23, 22, 16, 'F', 'B', 'F', 'B', 'F', 'H', 20, 'C', 'E', 'D', 'E', 14, 8, 14, 8, 14, 8, 14, 'E', 'C', 'G', 'I', 26, 'J', 33, 'H', 20, 'C', 'G', 'I', 'C', 20, 14, 'F', 'B', 'A']",-7,-50
"['A', 'B']",10,"['D', 1, 'D', 1, 'D', 1, 'D', 8, 'B', 'A']",-27,-2
"['F', 'E', 'I', 'B', 'H', 'A', 'C', 'G', 'J', 'D', 'K', 'M']",83,"['D', 'E', 'D', 'E', 'D', 8, 'D', 'E', 'C', 'G', 'I', 'C', 'E', 14, 'E', 14, 'F', 'B', 'A', 'B', 'A', 2, 'A', 2, 'A', 2, 8, 'D', 'E', 'D', 8, 14, 'F', 'H', 'F', 'H', 'J', 'H', 'J', 28, 'J', 33, 26, 20, 'C', 'G', 26, 32, 20, 26, 20, 26, 'J', 'H', 'J', 'H', 'J', 26, 20, 14, 8, 14, 20, 14, 20, 'H', 22, 16, 'F', 'B', 10, 'M', 'P', 4, 'P', 4, 10, 'B', 'F', 'B', 10, 'M', 'K']",13,-35
['A'],20,"['D', 'E', 'D', 8, 'D', 1, 'D', 'E', 'D', 'E', 14, 'F', 'H', 'F', 16, 'K', 'M', 10, 4, 'A']",-31,-16
"['H', 'D', 'B', 'A', 'C', 'G', 'F', 'E']",86,"['D', 'E', 'C', 'G', 26, 32, 'G', 'I', 26, 'G', 'I', 'I', 'C', 20, 'H', 'J', 28, 29, 'Q', 28, 29, 'N', 23, 'O', 'K', 16, 'K', 23, 'O', 'O', 'O', 'O', 29, 23, 29, 28, 34, 34, 22, 23, 'K', 18, 'M', 'P', 4, 'P', 4, 'P', 'M', 'K', 'M', 'K', 'M', 12, 10, 'M', 'K', 18, 16, 'K', 18, 16, 'K', 18, 'M', 'K', 'M', 'P', 6, 4, 'A', 'B', 'A', 4, 'P', 'M', 12, 'K', 16, 'K', 'M', 12, 12, 'K', 16, 'F']",-3,-54
"['D', 'A', 'C', 'B', 'E', 'F']",91,"['D', 'E', 'C', 20, 14, 'E', 14, 'F', 'H', 'J', 'H', 22, 'H', 'J', 26, 'J', 28, 22, 23, 22, 'H', 'J', 28, 22, 'H', 'J', 28, 29, 'N', 23, 22, 23, 'K', 'M', 'P', 6, 4, 'P', 'M', 12, 10, 'B', 'F', 'H', 'F', 'H', 20, 'C', 'E', 14, 20, 14, 'E', 14, 8, 'B', 'F', 'H', 'J', 33, 26, 'G', 'I', 26, 32, 32, 20, 26, 20, 'C', 'E', 'D', 1, 'D', 1, 'D', 'E', 'C', 'G', 'I', 26, 'G', 'I', 26, 'G', 'C', 20, 14, 8, 2, 'A']",-11,-67
"['B', 'E', 'G', 'C', 'D', 'H', 'J', 'F', 'I', 'K', 'A', 'M', 'N']",132,"['D', 'E', 'C', 'E', 14, 'E', 14, 'E', 'D', 1, 2, 'A', 'B', 'A', 'B', 'A', 2, 1, 'D', 8, 'D', 'E', 'D', 8, 2, 'A', 4, 10, 'B', 'A', 'B', 'A', 'B', 'A', 4, 'A', 4, 10, 'M', 'K', 16, 'K', 18, 23, 'K', 16, 'K', 18, 18, 23, 29, 'Q', 'Q', 'N', 'Q', 'Q', 28, 'J', 'H', 'J', 33, 28, 34, 'J', 33, 'H', 'F', 14, 'F', 14, 8, 2, 8, 'B', 'F', 14, 'E', 'D', 1, 2, 8, 14, 'F', 'H', 22, 28, 'J', 'H', 22, 'H', 'J', 28, 34, 29, 'Q', 23, 22, 28, 'J', 'H', 20, 26, 'J', 28, 29, 23, 29, 'N', 28, 22, 16, 10, 'B', 8, 2, 'A', 4, 10, 16, 10, 16, 'F', 14, 20, 'H', 'J', 33, 33, 33, 26, 'G', 'I']",17,-80
"['A', 'G', 'I', 'F', 'D', 'E', 'C', 'B', 'H']",37,"['D', 'E', 'D', 1, 'D', 8, 'D', 'E', 'C', 'E', 'D', 'E', 'D', 'E', 'C', 'G', 'I', 'I', 'C', 'E', 14, 'E', 'D', 8, 'B', 'A', 'B', 'A', 4, 'A', 2, 8, 'B', 'A', 'B', 'F', 'H']",1,-1
"['K', 'G', 'N', 'H', 'C', 'D', 'F', 'P', 'J', 'E', 'A', 'B', 'M', 'I', 'O']",139,"['D', 'E', 'C', 'E', 'C', 'E', 'C', 'E', 'D', 'E', 'D', 'E', 'D', 'E', 'C', 'E', 14, 'F', 'B', 'F', 'B', 'A', 4, 'P', 'M', 'P', 6, 'M', 'K', 16, 'F', 'H', 'J', 33, 28, 29, 'N', 'Q', 'Q', 28, 34, 34, 34, 22, 'H', 'F', 'H', 'J', 26, 'J', 28, 'J', 28, 'J', 33, 33, 'H', 22, 28, 34, 'J', 26, 'G', 'C', 20, 26, 'G', 'C', 'E', 'D', 1, 2, 1, 2, 1, 'D', 'E', 'C', 'G', 'I', 'C', 20, 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'E', 'C', 'G', 'I', 'I', 'C', 20, 14, 'E', 'D', 'E', 14, 'F', 14, 20, 'C', 'E', 14, 8, 14, 8, 'D', 8, 'B', 'F', 'H', 'F', 'H', 'F', 16, 22, 23, 'K', 23, 'K', 18, 23, 'K', 'M', 12, 10, 'M', 'K', 'M', 12, 10, 16, 22, 23, 'O']",25,-79
"['O', 'I', 'K', 'N', 'M', 'C', 'F', 'J', 'B', 'G', 'E', 'D', 'A', 'H']",199,"['D', 'E', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 20, 'H', 'J', 26, 20, 'C', 20, 14, 'E', 14, 'F', 'H', 22, 28, 'J', 28, 34, 'J', 26, 'G', 'I', 'C', 'E', 'C', 'E', 'C', 20, 26, 'J', 33, 28, 34, 22, 16, 'K', 'M', 'K', 16, 'F', 'B', 'A', 4, 'A', 2, 8, 14, 'E', 'C', 'E', 'D', 8, 'B', 10, 16, 'F', 'B', 'F', 16, 'K', 'M', 'K', 16, 'F', 16, 'K', 'M', 'P', 'M', 10, 'M', 'K', 'M', 10, 4, 'A', 'B', 10, 4, 'A', 'B', 'A', 4, 'A', 2, 'A', 'B', 8, 'D', 'E', 'D', 8, 'B', 8, 2, 8, 'B', 'F', 'H', 20, 14, 'F', 'B', 8, 'D', 1, 2, 1, 'D', 8, 'D', 8, 14, 'E', 'D', 'E', 'D', 8, 2, 1, 'D', 8, 'D', 8, 'D', 8, 14, 'E', 14, 20, 'C', 'G', 'C', 20, 26, 32, 32, 20, 'H', 20, 26, 20, 26, 'G', 'I', 'C', 20, 26, 32, 'G', 'I', 'C', 'E', 'D', 'E', 14, 'E', 'D', 8, 'B', 'F', 'H', 'F', 14, 8, 'D', 8, 14, 20, 'C', 20, 'H', 22, 'H', 'F', 14, 'F', 'B', 10, 'M', 10, 16, 10, 'M', 12, 'K', 23, 'O', 'O', 29, 'N']",21,-143
